cycle theoreticalDist theoreticalMaxDist average standardDeviation
28 16.4632 29.7326 16.4641 0.853172
29 16.6754 30.6061 16.6763 0.871617
30 16.8749 31.4682 16.8758 0.889185
31 17.0624 32.3191 17.0633 0.905905
32 17.2387 33.159 17.2395 0.921811
33 17.4043 33.9879 17.4052 0.936933
34 17.5601 34.8061 17.561 0.95131
35 17.7065 35.6136 17.7074 0.964964
36 17.8441 36.4106 17.845 0.977933
37 17.9734 37.1973 17.9743 0.99024
38 18.095 37.9737 18.096 1.00192
39 18.2093 38.7401 18.2103 1.01299
40 18.3168 39.4965 18.3177 1.02349
41 18.4178 40.243 18.4187 1.03343
42 18.5127 40.9798 18.5137 1.04285
43 18.6019 41.7071 18.6029 1.05177
44 18.6858 42.4249 18.6868 1.06022
45 18.7647 43.1334 18.7657 1.06821
46 18.8388 43.8327 18.8398 1.07577
47 18.9085 44.5228 18.9095 1.08293
48 18.974 45.204 18.975 1.08969
49 19.0355 45.8764 19.0366 1.09609
50 19.0934 46.54 19.0945 1.10213
firstSpeed 1.3
1 1.3 1.365 1.30003 0.0265229
2 2.522 2.71226 2.52206 0.0572027
3 3.67068 4.042 3.67077 0.0922169
4 4.75044 5.35445 4.75057 0.130087
5 5.76541 6.64984 5.76558 0.169766
6 6.71949 7.92839 6.71967 0.210459
7 7.61632 9.19032 7.61653 0.251705
8 8.45934 10.4359 8.4596 0.293014
9 9.25178 11.6652 9.2521 0.334074
10 9.99667 12.8785 9.99705 0.374648
11 10.6969 14.0761 10.6973 0.414506
12 11.3551 15.2581 11.3556 0.453515
13 11.9738 16.4248 11.9743 0.491546
14 12.5553 17.5762 12.5559 0.528519
15 13.102 18.7128 13.1027 0.564388
16 13.6159 19.8345 13.6166 0.599113
17 14.0989 20.9416 14.0997 0.632654
18 14.553 22.0344 14.5538 0.664989
19 14.9798 23.113 14.9806 0.696112
20 15.381 24.1775 15.3818 0.726027
21 15.7582 25.2282 15.759 0.754732
22 16.1127 26.2652 16.1135 0.782249
23 16.4459 27.2888 16.4468 0.808587
